#"Step","Time (ps)","Total Energy (kJ/mole)","Box Volume (nm^3)"
10,4020.005000589576,661889.1242013285,116.26616073793954
20,4020.010000589577,661851.4121250748,116.26616073793954
30,4020.015000589578,661869.0880798713,116.26616073793954
40,4020.020000589579,661875.6537563945,116.26616073793954
50,4020.02500058958,661821.7757311759,116.26616073793954
60,4020.030000589581,661888.0031204465,116.26616073793954
70,4020.035000589582,661835.4623319342,116.26616073793954
80,4020.040000589583,661844.9133150359,116.26616073793954
90,4020.045000589584,661846.3596510406,116.26616073793954
100,4020.050000589585,661849.0334000301,116.26616073793954
